mode,lang,complexity,mean,ci_lower,ci_upper,se,n
fairness_aware,en,simple,1.0,,,0.0,10
fairness_aware,en,complex,1.0,,,0.0,5
fairness_aware,mi,simple,0.8181818181818182,0.5464216398380759,1.0899419965255606,0.12196734422726126,11
fairness_aware,mi,complex,0.25,-0.5456115763210657,1.0456115763210656,0.25,4
language_aware,en,simple,1.0,,,0.0,10
language_aware,en,complex,1.0,,,0.0,5
language_aware,mi,simple,0.8181818181818182,0.5464216398380759,1.0899419965255606,0.12196734422726126,11
language_aware,mi,complex,0.25,-0.5456115763210657,1.0456115763210656,0.25,4
uniform,en,simple,1.0,,,0.0,10
uniform,en,complex,1.0,,,0.0,5
uniform,mi,simple,0.8181818181818182,0.5464216398380759,1.0899419965255606,0.12196734422726126,11
uniform,mi,complex,0.25,-0.5456115763210657,1.0456115763210656,0.25,4
